"computerName","datetime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-6 11:03:36","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","301.76"
"sfbkamehameha","2018-05-6 11:03:36","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:37","processor(_total)","% processor time","_total","1.64"
"sfbkamehameha","2018-05-6 11:03:37","memory","available mbytes",,"2632"
"sfbkamehameha","2018-05-6 11:03:37","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 11:03:37","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:37","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
"sfbkamehameha","2018-05-6 11:03:37","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","303.74"
"sfbkamehameha","2018-05-6 11:03:37","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:38","processor(_total)","% processor time","_total","2.17"
"sfbkamehameha","2018-05-6 11:03:38","memory","available mbytes",,"2632"
"sfbkamehameha","2018-05-6 11:03:38","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 11:03:38","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:38","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-6 11:03:38","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","354.22"
"sfbkamehameha","2018-05-6 11:03:38","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:39","processor(_total)","% processor time","_total","64.19"
"sfbkamehameha","2018-05-6 11:03:39","memory","available mbytes",,"2510"
"sfbkamehameha","2018-05-6 11:03:39","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 11:03:39","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:39","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-6 11:03:39","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","92002.76"
"sfbkamehameha","2018-05-6 11:03:39","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:40","processor(_total)","% processor time","_total","38.06"
"sfbkamehameha","2018-05-6 11:03:40","memory","available mbytes",,"2506"
"sfbkamehameha","2018-05-6 11:03:40","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 11:03:40","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:40","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-6 11:03:40","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","909.07"
"sfbkamehameha","2018-05-6 11:03:40","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:41","processor(_total)","% processor time","_total","48.21"
"sfbkamehameha","2018-05-6 11:03:41","memory","available mbytes",,"2475"
"sfbkamehameha","2018-05-6 11:03:41","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.01"
"sfbkamehameha","2018-05-6 11:03:41","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:41","physicaldisk(_total)","avg. disk sec/transfer","_total","0.01"
"sfbkamehameha","2018-05-6 11:03:41","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","30018.41"
"sfbkamehameha","2018-05-6 11:03:41","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:42","processor(_total)","% processor time","_total","44.29"
"sfbkamehameha","2018-05-6 11:03:42","memory","available mbytes",,"2495"
"sfbkamehameha","2018-05-6 11:03:42","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 11:03:42","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:42","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-6 11:03:42","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","66039.14"
